DDI-MedLine.d80.s0|20-32|contraception|group
DDI-MedLine.d80.s1|12-18|provide|drug
DDI-MedLine.d80.s1|99-112|contraceptives|group
DDI-MedLine.d80.s1|115-117|POC|brand
DDI-MedLine.d80.s8|31-41|endometrium|drug
DDI-MedLine.d80.s12|71-82|carbohydrate|drug
DDI-MedLine.d80.s17|0-6|uterine|drug
DDI-MedLine.d80.s17|8-15|fibroids|group
DDI-MedLine.d80.s21|0-8|endocrine|drug
DDI-MedLine.d80.s28|79-82|side|drug
DDI-MedLine.d84.s0|26-34|Ganoderma|drug
DDI-MedLine.d84.s1|74-82|Ganoderma|drug
DDI-MedLine.d84.s1|96-100|KARST|brand
DDI-MedLine.d84.s1|287-289|MIC|brand
DDI-MedLine.d84.s2|123-125|MIC|brand
DDI-MedLine.d84.s3|107-115|cefazolin|drug
DDI-MedLine.d84.s3|118-132|oxytetracycline|drug
DDI-MedLine.d84.s3|138-152|chloramphenicol|drug
DDI-MedLine.d84.s3|203-206|FICI|brand
DDI-MedLine.d84.s5|49-57|cefazolin|drug
DDI-MedLine.d13.s0|9-19|amphetamine|drug
DDI-MedLine.d13.s1|75-86|amphetamines|drug
DDI-MedLine.d13.s4|72-82|amphetamine|drug
DDI-MedLine.d13.s4|124-130|suicide|drug
DDI-MedLine.d13.s4|135-142|homicide|drug
DDI-MedLine.d13.s7|69-79|amphetamine|drug
DDI-MedLine.d13.s7|232-241|alcoholics|drug
DDI-MedLine.d13.s8|32-46|alcohol-related|drug
DDI-MedLine.d13.s8|99-109|amphetamine|drug
DDI-MedLine.d26.s5|36-39|wide|drug
DDI-MedLine.d26.s8|199-201|IJA|brand
DDI-MedLine.d69.s0|27-34|tyrosine|drug
DDI-MedLine.d69.s0|36-50|phosphorylation|drug
DDI-MedLine.d69.s0|70-84|contortrostatin|drug
DDI-MedLine.d69.s0|141-150|echistatin|drug
DDI-MedLine.d69.s1|28-42|contortrostatin|drug
DDI-MedLine.d69.s1|96-105|echistatin|drug
DDI-MedLine.d69.s1|156-163|tyrosine|drug
DDI-MedLine.d69.s1|165-179|phosphorylation|drug
DDI-MedLine.d69.s2|21-35|contortrostatin|drug
DDI-MedLine.d69.s2|66-73|tyrosine|drug
DDI-MedLine.d69.s2|75-89|phosphorylation|drug
DDI-MedLine.d69.s2|121-123|T24|brand
DDI-MedLine.d69.s2|183-197|phosphorylation|drug
DDI-MedLine.d69.s3|0-9|Echistatin|drug
DDI-MedLine.d69.s3|34-41|tyrosine|drug
DDI-MedLine.d69.s3|43-57|phosphorylation|drug
DDI-MedLine.d69.s3|62-64|T24|brand
DDI-MedLine.d69.s3|118-132|contortrostatin|drug
DDI-MedLine.d69.s4|32-39|tyrosine|drug
DDI-MedLine.d69.s4|41-55|phosphorylation|drug
DDI-MedLine.d69.s4|72-86|contortrostatin|drug
DDI-MedLine.d69.s4|101-103|CAS|brand
DDI-MedLine.d69.s5|48-50|CAS|brand
DDI-MedLine.d69.s5|102-116|phosphorylation|drug
DDI-MedLine.d69.s5|137-146|MDA-MB-435|brand
DDI-MedLine.d69.s6|70-84|contortrostatin|drug
DDI-MedLine.d48.s0|24-32|histidine|drug
DDI-MedLine.d48.s0|79-89|Clostridium|drug
DDI-MedLine.d48.s1|0-10|Clostridium|drug
DDI-MedLine.d48.s2|82-94|glucosylation|drug
DDI-MedLine.d48.s3|0-6|Diethyl|drug
DDI-MedLine.d48.s3|8-20|pyrocarbonate|drug
DDI-MedLine.d48.s3|72-80|histidine|drug
DDI-MedLine.d48.s4|29-35|diethyl|drug
DDI-MedLine.d48.s4|37-49|pyrocarbonate|drug
DDI-MedLine.d48.s5|33-40|-diethyl|drug
DDI-MedLine.d48.s5|42-54|pyrocarbonate|drug
DDI-MedLine.d48.s5|102-110|histidine|drug
DDI-MedLine.d48.s5|134-142|molecules|drug
DDI-MedLine.d48.s6|15-21|diethyl|drug
DDI-MedLine.d48.s6|23-35|pyrocarbonate|drug
DDI-MedLine.d48.s6|58-70|hydroxylamine|drug
DDI-MedLine.d48.s7|32-40|histidine|drug
DDI-MedLine.d48.s8|0-8|Histidine|drug
DDI-MedLine.d48.s8|44-51|glucosyl|drug
DDI-MedLine.d48.s9|63-68|bovine|drug
DDI-MedLine.d48.s9|90-94|ELISA|brand
